timestamp,server_id,instance_type,cost_per_hour,cpu_utilization,memory_usage,network_in_mb,network_out_mb,hour,day_of_week,is_weekend,cpu_lag_1hr
2026-05-01 01:00:00,srv_prod_web_01,m5.xlarge,0.192,5.0,20.0,14.83,17.79,1,4,0,5.0
2026-05-01 01:00:00,srv_prod_web_02,m5.xlarge,0.192,5.0,20.0,10.0,12.0,1,4,0,5.0
2026-05-01 01:00:00,srv_worker_01,c5.large,0.085,45.44,57.7,12.75,15.3,1,4,0,48.07
2026-05-01 01:00:00,srv_worker_02,c5.large,0.085,43.83,58.8,15.7,18.85,1,4,0,43.14
2026-05-01 01:00:00,srv_zombie_idle,r5.xlarge,0.252,1.68,10.41,0.38,0.45,1,4,0,1.88
2026-05-01 02:00:00,srv_prod_web_01,m5.xlarge,0.192,12.43,20.0,12.0,14.4,2,4,0,5.0
2026-05-01 02:00:00,srv_prod_web_02,m5.xlarge,0.192,12.4,27.14,19.46,23.35,2,4,0,5.0
2026-05-01 02:00:00,srv_worker_01,c5.large,0.085,43.8,57.04,10.56,12.67,2,4,0,45.44
2026-05-01 02:00:00,srv_worker_02,c5.large,0.085,49.23,60.69,8.47,10.17,2,4,0,43.83
2026-05-01 02:00:00,srv_zombie_idle,r5.xlarge,0.252,1.95,9.66,0.56,0.67,2,4,0,1.68
2026-05-01 03:00:00,srv_prod_web_01,m5.xlarge,0.192,26.46,38.96,35.49,42.58,3,4,0,12.43
2026-05-01 03:00:00,srv_prod_web_02,m5.xlarge,0.192,23.77,35.01,40.54,48.65,3,4,0,12.4
2026-05-01 03:00:00,srv_worker_01,c5.large,0.085,44.26,57.79,9.61,11.53,3,4,0,43.8
2026-05-01 03:00:00,srv_worker_02,c5.large,0.085,50.42,59.86,14.01,16.81,3,4,0,49.23
2026-05-01 03:00:00,srv_zombie_idle,r5.xlarge,0.252,1.84,10.18,0.65,0.78,3,4,0,1.95
2026-05-01 04:00:00,srv_prod_web_01,m5.xlarge,0.192,37.43,49.64,43.04,51.65,4,4,0,26.46
2026-05-01 04:00:00,srv_prod_web_02,m5.xlarge,0.192,39.14,46.58,57.22,68.66,4,4,0,23.77
2026-05-01 04:00:00,srv_worker_01,c5.large,0.085,37.05,59.56,12.71,15.26,4,4,0,44.26
2026-05-01 04:00:00,srv_worker_02,c5.large,0.085,42.93,58.38,11.0,13.2,4,4,0,50.42
2026-05-01 04:00:00,srv_zombie_idle,r5.xlarge,0.252,2.23,9.74,0.55,0.66,4,4,0,1.84
2026-05-01 05:00:00,srv_prod_web_01,m5.xlarge,0.192,48.63,56.81,69.44,83.33,5,4,0,37.43
2026-05-01 05:00:00,srv_prod_web_02,m5.xlarge,0.192,47.78,52.05,64.36,77.23,5,4,0,39.14
2026-05-01 05:00:00,srv_worker_01,c5.large,0.085,46.04,60.01,11.53,13.84,5,4,0,37.05
2026-05-01 05:00:00,srv_worker_02,c5.large,0.085,43.32,59.31,10.4,12.47,5,4,0,42.93
2026-05-01 05:00:00,srv_zombie_idle,r5.xlarge,0.252,2.26,10.94,0.52,0.62,5,4,0,2.23
2026-05-01 06:00:00,srv_prod_web_01,m5.xlarge,0.192,55.52,59.19,73.68,88.41,6,4,0,48.63
2026-05-01 06:00:00,srv_prod_web_02,m5.xlarge,0.192,54.95,59.14,94.74,113.68,6,4,0,47.78
2026-05-01 06:00:00,srv_worker_01,c5.large,0.085,46.21,59.93,9.66,11.6,6,4,0,46.04
2026-05-01 06:00:00,srv_worker_02,c5.large,0.085,48.01,61.58,10.18,12.22,6,4,0,43.32
2026-05-01 06:00:00,srv_zombie_idle,r5.xlarge,0.252,1.54,10.29,0.72,0.86,6,4,0,2.26
2026-05-01 07:00:00,srv_prod_web_01,m5.xlarge,0.192,54.22,56.68,81.83,98.2,7,4,0,55.52
2026-05-01 07:00:00,srv_prod_web_02,m5.xlarge,0.192,55.2,54.5,83.14,99.76,7,4,0,54.95
2026-05-01 07:00:00,srv_worker_01,c5.large,0.085,46.89,58.16,15.1,18.12,7,4,0,46.21
